"exercise_name","selectable_by_generator","current_equipment_keys","athlete_equipment_labels","source_assignment_variants","sources","source_occurrence_count","raw_requirements","review_flag"
"30:30 Controlled Tempo Blocks","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-low/mixed=none ; conditioning_template/aerobic_capacity=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:All 5 modalities. Distinguish clearly from Aerobic Power's 30:30 Hard Intermittent. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"30:30 Hard Intermittent","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-high/mixed=none ; conditioning_template/aerobic_power=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:All 5 modalities. Distinguish clearly from Aerobic Capacity's controlled 30:30, which is a tempo template. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"30:30 Tempo Blocks","yes","none","None shown","conditioning_meta/B-low/run=none","conditioning_meta","1","semantic-modality:run","OK"
"400 m Repeats","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-high/mixed=none ; conditioning_template/aerobic_power=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:Run/Ski/Row: same nominal distance. Bike: 800 m. Air Bike: time via 250 m ≈ 1 min (≈96 s). | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"45 s Hard Repeats","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/A/mixed=none ; conditioning_template/anaerobic=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:All 5 modalities (time-based). | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"45-Degree Cut Reps","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/cod_decel=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. | semantic-modality:run","OK"
"4x4 VO2","yes","none","None shown","conditioning_meta/B-high/mixed=none","conditioning_meta","1","semantic-modality:mixed","OK"
"60 s Max Sustained Effort","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/A/mixed=none ; conditioning_template/anaerobic=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:All 5 modalities (time-based). Run: the 150–200 m repeats below are the running-native equivalent. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"6x1km","yes","none","None shown","conditioning_meta/B-high/run=none","conditioning_meta","1","semantic-modality:run","OK"
"90/90 Breathing","yes","bodyweight","Bodyweight / no equipment","pool_registry/breathing_reset=bodyweight","pool_registry","1","bodyweight","OK"
"Ab Wheel","yes","bodyweight","Bodyweight / no equipment","pool_registry/trunk_anti_rotation=bodyweight","pool_registry","1","bodyweight","OK"
"Adductor Rockback","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Aerobic Shuttles","yes","none","None shown","conditioning_meta/B-low/run=none ; conditioning_template/aerobic_capacity=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. (shuttle format). Other modalities: use 'Steady Blocks'. | semantic-modality:run","OK"
"Air Bike Accelerations","yes","modality:air_bike","Air bike / assault bike","conditioning_meta/A/mixed=none ; conditioning_template/acceleration=modality:air_bike","conditioning_meta | conditioning_template","2","modalityNotes:AIR BIKE — NAMED EXCEPTION to the run-only rule 4 (Sam V3 ruling 4). Late-session HR drift toward anaerobic power is ACCEPTABLE (Sam) — it does not turn this into a capacity session. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Air Bike Sprints","yes","modality:bike_erg","Bike or bike erg","conditioning_meta/B-low/bike=modality:bike_erg","conditioning_meta","1","semantic-modality:bike","OK"
"Assault Bike Intervals","yes","modality:bike_erg","Bike or bike erg","conditioning_meta/B-low/bike=modality:bike_erg","conditioning_meta","1","semantic-modality:bike","OK"
"ATG Split Squat","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Back Extension","yes","dumbbells","Dumbbells","strength_pools/isolation_lower/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Back Squat","yes","barbell","Barbell & rack","default_exercises/Compound=barbell ; strength_pools/squat/anchor=barbell","default_exercises | strength_pools","2","Barbell | Rack | load-authority:barbell","OK"
"Band Pallof Press","yes","bands","Resistance bands","pool_registry/trunk_anti_rotation=bands","pool_registry","1","bands","OK"
"Band Pull-Apart","yes","bands | bodyweight","Resistance bands | Bodyweight / no equipment","pool_registry/shoulder_health=bands ; pool_registry/upper_back_pump=bands ; strength_pools/horizontal_pull/accessory=bodyweight","pool_registry | strength_pools","3","bands | load-authority:bodyweight","MULTIPLE_SOURCE_ASSIGNMENTS"
"Banded Bicep Curl","yes","bands | bodyweight","Resistance bands | Bodyweight / no equipment","pool_registry/biceps=bands ; strength_pools/isolation_upper/accessory=bodyweight","pool_registry | strength_pools","2","bands | load-authority:bodyweight","MULTIPLE_SOURCE_ASSIGNMENTS"
"Banded Dead Bug","yes","bands","Resistance bands","pool_registry/trunk_anti_rotation=bands","pool_registry","1","bands","OK"
"Banded External Rotation","yes","bands","Resistance bands","pool_registry/shoulder_health=bands","pool_registry","1","bands","OK"
"Banded TKE","yes","bands","Resistance bands","pool_registry/lower_prehab=bands","pool_registry","1","bands","OK"
"Banded Tricep Pushdown","yes","bands | bodyweight","Resistance bands | Bodyweight / no equipment","pool_registry/triceps=bands ; strength_pools/isolation_upper/accessory=bodyweight","pool_registry | strength_pools","2","bands | load-authority:bodyweight","MULTIPLE_SOURCE_ASSIGNMENTS"
"Barbell Row","yes","barbell","Barbell & rack","default_exercises/Compound=barbell ; strength_pools/horizontal_pull/anchor=barbell","default_exercises | strength_pools","2","Barbell | load-authority:barbell","OK"
"Bear Carry","yes","dumbbells","Dumbbells","strength_pools/carry/anchor=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Bench Press","yes","barbell | bench","Barbell & rack | Bench","default_exercises/Compound=barbell+bench ; strength_pools/horizontal_push/anchor=barbell","default_exercises | strength_pools","2","Barbell | Bench | load-authority:barbell","MULTIPLE_SOURCE_ASSIGNMENTS"
"Bicep Curl (Barbell)","yes","barbell","Barbell & rack","default_exercises/Isolation=barbell ; strength_pools/isolation_upper/accessory=barbell","default_exercises | strength_pools","2","Barbell | load-authority:barbell","OK"
"Bicep Curl (Dumbbell)","yes","dumbbells","Dumbbells","strength_pools/isolation_upper/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Bike/Row/Ski Tempo Intervals","yes","none","None shown","conditioning_meta/B-low/mixed=none","conditioning_meta","1","semantic-modality:mixed","OK"
"Bird Dog","yes","bodyweight","Bodyweight / no equipment","pool_registry/trunk_anti_rotation=bodyweight","pool_registry","1","bodyweight","OK"
"Bodyweight Circuit (no-equipment fallback)","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/A/mixed=none ; conditioning_template/anaerobic=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:Modality-agnostic bodyweight work — doesn't route through the Run/Bike/Ski/Row/Air Bike rendering rules. USE ONLY when there is genuinely no equipment; never in-season or pre-season (Sam). | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Bodyweight Squat","yes","bodyweight","Bodyweight / no equipment","default_exercises/Compound=bodyweight ; strength_pools/squat/accessory=bodyweight","default_exercises | strength_pools","2","load-authority:bodyweight","OK"
"Bosch Hold","yes","bodyweight","Bodyweight / no equipment","pool_registry/lower_prehab=bodyweight","pool_registry","1","bodyweight","OK"
"Bottoms-Up KB Press","yes","kettlebell","Kettlebell","pool_registry/shoulder_health=kettlebell","pool_registry","1","kettlebell","OK"
"Box Breathing","yes","bodyweight","Bodyweight / no equipment","pool_registry/breathing_reset=bodyweight","pool_registry","1","bodyweight","OK"
"Box Jumps","yes","bodyweight","Bodyweight / no equipment","strength_pools/plyo/anchor=bodyweight","strength_pools","1","load-authority:bodyweight","OK"
"Box Squat","yes","barbell","Barbell & rack","strength_pools/squat/anchor=barbell","strength_pools","1","load-authority:barbell","OK"
"Broad Jumps","yes","bodyweight","Bodyweight / no equipment","strength_pools/plyo/anchor=bodyweight","strength_pools","1","load-authority:bodyweight","OK"
"Bulgarian Split Squats","yes","bench | dumbbells","Bench | Dumbbells","default_exercises/Compound=bench+dumbbells ; strength_pools/squat/accessory=dumbbells","default_exercises | strength_pools","2","Bench | Dumbbells | load-authority:dumbbell","MULTIPLE_SOURCE_ASSIGNMENTS"
"Butterfly Stretch","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Cable Face Pull","yes","cables","Cable machine","pool_registry/delts=cables","pool_registry","1","cables","OK"
"Calf Raises","yes","machine","Weight machines","default_exercises/Isolation=machine ; strength_pools/isolation_lower/accessory=machine","default_exercises | strength_pools","2","load-authority:machine","OK"
"Calf Stretch","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Cat-Cow","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Chest / Pec Stretch (Doorway)","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Chest Supported Row","yes","dumbbells","Dumbbells","strength_pools/horizontal_pull/anchor=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Chest-Supported DB Row","yes","bench | dumbbells","Bench | Dumbbells","pool_registry/upper_back_pump=bench+dumbbells","pool_registry","1","bench | dumbbells","OK"
"Child's Pose with Breathing","yes","bodyweight","Bodyweight / no equipment","pool_registry/breathing_reset=bodyweight","pool_registry","1","bodyweight","OK"
"Chin-Up Negative (Slow)","yes","pullup_bar","Pull-up bar","pool_registry/biceps=pullup_bar","pool_registry","1","pullup_bar","OK"
"Chin-Ups","yes","bodyweight","Bodyweight / no equipment","strength_pools/vertical_pull/anchor=bodyweight","strength_pools","1","load-authority:bodyweight","OK"
"Classic 4×4","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-high/mixed=none ; conditioning_template/aerobic_power=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:All 5 modalities — 4 min is inside the 8 min erg cap; Air Bike is time-native. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Close Grip Bench","yes","barbell","Barbell & rack","strength_pools/horizontal_push/anchor=barbell","strength_pools","1","load-authority:barbell","OK"
"Concentration Curl","yes","dumbbells","Dumbbells","pool_registry/biceps=dumbbells ; strength_pools/isolation_upper/accessory=dumbbells","pool_registry | strength_pools","2","dumbbells | load-authority:dumbbell","OK"
"Continuous Aerobic Run","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-low/mixed=none ; conditioning_template/aerobic_capacity=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:Run/Bike ONLY (a continuous block far above the 8 min erg cap). Ski/Row/Air Bike substitute 'Steady Blocks' below. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Controlled 10–20 min Blocks","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-low/mixed=none ; conditioning_template/aerobic_capacity=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:Run/Bike ONLY per the 8 min cap (rule 3). Ski/Row/Air Bike substitute 'Steady Blocks'. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Copenhagen Plank (Half)","yes","bodyweight","Bodyweight / no equipment","pool_registry/groin_adductors=bodyweight","pool_registry","1","bodyweight","OK"
"Cossack Squat","yes","bodyweight","Bodyweight / no equipment","pool_registry/groin_adductors=bodyweight","pool_registry","1","bodyweight","OK"
"Couch Stretch","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Crab Walks","yes","bands","Resistance bands","pool_registry/lower_prehab=bands","pool_registry","1","bands","OK"
"Crocodile Breathing","yes","bodyweight","Bodyweight / no equipment","pool_registry/breathing_reset=bodyweight","pool_registry","1","bodyweight","OK"
"Cruise Intervals","yes","none","None shown","conditioning_meta/B-low/run=none","conditioning_meta","1","semantic-modality:run","OK"
"DB Bench Press","yes","dumbbells","Dumbbells","strength_pools/horizontal_push/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"DB Shoulder Press","yes","dumbbells","Dumbbells","strength_pools/vertical_push/accessory=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Dead Bug","yes","bodyweight","Bodyweight / no equipment","pool_registry/trunk_anti_rotation=bodyweight","pool_registry","1","bodyweight","OK"
"Dead Hang","yes","pullup_bar","Pull-up bar","pool_registry/mobility=pullup_bar","pool_registry","1","pullup_bar","OK"
"Deadlift","yes","barbell","Barbell & rack","strength_pools/hinge/anchor=barbell","strength_pools","1","load-authority:barbell","OK"
"Deceleration and Landing Work","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/cod_decel=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. | semantic-modality:run","OK"
"Deep Squat Hold","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Depth Jumps","yes","bodyweight | plyo_box","Bodyweight / no equipment | Plyo box","power_pool/lower=plyo_box ; strength_pools/plyo/accessory=bodyweight","power_pool | strength_pools","2","Box | load-authority:bodyweight","MULTIPLE_SOURCE_ASSIGNMENTS"
"Dips","yes","bodyweight","Bodyweight / no equipment","default_exercises/Compound=bodyweight ; strength_pools/horizontal_push/accessory=bodyweight","default_exercises | strength_pools","2","load-authority:bodyweight","OK"
"Dragon Flag","yes","bodyweight","Bodyweight / no equipment","pool_registry/trunk_anti_rotation=bodyweight","pool_registry","1","bodyweight","OK"
"Dumbbell Kickback","yes","dumbbells","Dumbbells","pool_registry/triceps=dumbbells ; strength_pools/isolation_upper/accessory=dumbbells","pool_registry | strength_pools","2","dumbbells | load-authority:dumbbell","OK"
"Dumbbell Pullovers","yes","bench | dumbbells","Bench | Dumbbells","pool_registry/mobility=bench+dumbbells","pool_registry","1","bench | dumbbells","OK"
"Dumbbell Skull Crusher","yes","bench | dumbbells","Bench | Dumbbells","pool_registry/triceps=bench+dumbbells ; strength_pools/isolation_upper/accessory=dumbbells","pool_registry | strength_pools","2","bench | dumbbells | load-authority:dumbbell","MULTIPLE_SOURCE_ASSIGNMENTS"
"Easy Aerobic Flush","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/C/mixed=none ; conditioning_template/flush=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:Run (grass preferred where available), Bike — both continuous, no cap issue. Ski/Row/Air Bike: use the erg or interval flushes below. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Easy Bike","yes","modality:bike_erg","Bike or bike erg","conditioning_meta/C/bike=modality:bike_erg","conditioning_meta","1","semantic-modality:bike","OK"
"Easy Row","yes","modality:row","Row erg","conditioning_meta/C/row=modality:row","conditioning_meta","1","semantic-modality:row","OK"
"Easy Ski","yes","modality:ski","Ski erg","conditioning_meta/C/ski=modality:ski","conditioning_meta","1","semantic-modality:ski","OK"
"Easy Swim","yes","none","None shown","conditioning_meta/C/swim=none","conditioning_meta","1","semantic-modality:swim","OK"
"Elephant Walks","yes","bodyweight","Bodyweight / no equipment","pool_registry/mobility=bodyweight","pool_registry","1","bodyweight","OK"
"Erg EMOM","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-high/mixed=none ; conditioning_template/aerobic_power=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:Ski, Row, Air Bike, Bike (Bible names it cross-modality). Run works too. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Erg Flush Blocks","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/C/mixed=none ; conditioning_template/flush=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:Ski/Row/Bike rotation; Air Bike allowed. 8 min sits exactly at the cap with no margin (rule 3). | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Erg Short-Burst Repeats (15–20 s)","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/A/mixed=none ; conditioning_template/anaerobic=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:Air Bike, Row, Ski, Bike — time-based, all inside the 8 min cap. Calorie-target rendering is erg-only (Row/Ski/Air Bike/Bike have counters); Run uses the time-only version. The 10 s end of the folded-in rows now lives in Repeat Sprint per Sam's under-10 s rule. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Explosive Landmine Press","yes","barbell","Barbell & rack","strength_pools/vertical_push/accessory=barbell","strength_pools","1","load-authority:barbell","OK"
"Explosive Push-up","yes","bodyweight","Bodyweight / no equipment","power_pool/upper=bodyweight","power_pool","1","empty = bodyweight (power-pool contract)","OK"
"Extensive Tempo (100 m repeats)","yes","modality:air_bike | modality:bike_erg | modality:row | modality:ski","Air bike / assault bike | Bike or bike erg | Row erg | Ski erg","conditioning_meta/B-low/mixed=none ; conditioning_template/aerobic_capacity=modality:air_bike+modality:bike_erg+modality:row+modality:ski","conditioning_meta | conditioning_template","2","modalityNotes:Run/Ski/Row: same nominal distance. Bike: 200 m. Air Bike: time via 250 m ≈ 1 min (≈24 s). | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Face Pull","yes","cables","Cable machine","pool_registry/upper_back_pump=cables ; strength_pools/horizontal_pull/accessory=cables","pool_registry | strength_pools","2","cables | load-authority:cable","OK"
"Face Pulls","no","cables","Cable machine","default_exercises/Isolation=cables","default_exercises","1","Cable Machine","OK"
"Farmer Carry","yes","dumbbells","Dumbbells","strength_pools/carry/anchor=dumbbells","strength_pools","1","load-authority:dumbbell","OK"
"Flush Intervals 1:1 (1 min / 1 min)","yes","modality:bike_erg | modality:row","Bike or bike erg | Row erg","conditioning_meta/C/mixed=none ; conditioning_template/flush=modality:bike_erg+modality:row","conditioning_meta | conditioning_template","2","modalityNotes:ANY modality. MID-SESSION MIXING ALLOWED (flush-only property, Sam V3 ruling 5): rotate machines and/or running BETWEEN ROUNDS — row a round, bike a round, jog a round. No cap issue: no work interval exceeds 2 min. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Flush Intervals 2:1 (2 min / 1 min)","yes","modality:bike_erg | modality:row","Bike or bike erg | Row erg","conditioning_meta/C/mixed=none ; conditioning_template/flush=modality:bike_erg+modality:row","conditioning_meta | conditioning_template","2","modalityNotes:ANY modality. MID-SESSION MIXING ALLOWED (flush-only property, Sam V3 ruling 5): rotate machines and/or running BETWEEN ROUNDS — row a round, bike a round, jog a round. No cap issue: no work interval exceeds 2 min. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Flush Intervals 30:30","yes","modality:bike_erg | modality:row","Bike or bike erg | Row erg","conditioning_meta/C/mixed=none ; conditioning_template/flush=modality:bike_erg+modality:row","conditioning_meta | conditioning_template","2","modalityNotes:ANY modality. MID-SESSION MIXING ALLOWED (flush-only property, Sam V3 ruling 5): rotate machines and/or running BETWEEN ROUNDS — row a round, bike a round, jog a round. No cap issue: no work interval exceeds 2 min. | semantic-modality:mixed","MULTIPLE_SOURCE_ASSIGNMENTS"
"Flush Run","yes","none","None shown","conditioning_meta/C/run=none","conditioning_meta","1","semantic-modality:run","OK"
"Fly 20 (20+20)","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/top_end_speed=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. | semantic-modality:run","OK"
"Fly 30 (30+30)","yes","none","None shown","conditioning_meta/A/run=none ; conditioning_template/top_end_speed=none","conditioning_meta | conditioning_template","2","modalityNotes:Run-only (field sprint/cutting mechanics; rule 4). No machine rendering. | semantic-modality:run","OK"
"Flying Sprints","yes","none","None shown","conditioning_meta/A/run=none","conditioning_meta","1","semantic-modality:run","OK"
"Foam Roll — Calves & Outer Shins","yes","foam_roller","Foam roller","pool_registry/tissue_quality=foam_roller","pool_registry","1","foam_roller","OK"
